Item
Leon Belmont
Sonia Belmont
Trevor Belmont
Christopher Belmont
Simon Belmont
Juste Belmont
Richter Belmont
Julius Belmont
Grant Danasty
John Morris
Jonathan Morris
Soma Cruz
Charlotte Aulin
Sypha Belnades
Yoko Belnades
Alucard
Eric Lecarde
Hector
Maria Renard
Shanoa
Quincy Morris
Maxim Kischine
Henry
Vlad Tepes Dracula
Julia Laforeze
Carrie Fernandez
Rinaldo Gandolfi
Mina Hakuba
Elizabeth Bartley
Reinhardt Schneider
Isaac
Sara Trantoul
Vincent Dorin
Albus
Lisa Tepes
Shaft
Saint Germain
Nathan Graves
Cornell
Barlowe
Young Maria Renard
Ferryman
Master Librarian
Hammer
Wind
Jonathan & Charlotte
Charlotte & Jonathan
Stella & Loretta Lecarde
Loretta & Stella Lecarde
Stella Lecarde
Loretta Lecarde
Brauner
Soleil Belmont
Dario Bossi
Dmitrii Blinov
Celia Fortner
Graham Jones
Joachim Armster
Walter Bernhard
Carmilla
Count Olrox
Axe Armor
Frozenshade
Succubus
Keremet
Alamaric Sniper
Blackmore
Malphas
Death
Galamoth
Megalo Olrox
Megalo Death
Megalo Dracula
Chaos
