Item
Axe
Alchemy Whip
Wind Whip
Platinum Whip
Dragon Water Whip
Sonic Whip
Jet Black Whip
Vibhuti Whip
Vanitas Whip
Shuriken
Curved Knife
Javelin
Discus
Iron Ball
Silver Revolver
Hand Grenade
Wine Glass
Raging Fire
Ice Fang
Gale Force
Rock Riot
Fulgur
Keremet Bubbles
Hex
Refectio
Mace
Star Flail
Alucard Spear
Trident
Iron Shield
Guardian's Targe
Tyrfing
Alucart Sworb
Confodere
Globus
Optical Shot
Dextro Custos
Sinestro Custos
Dominus Anger
Dominus Hatred
Sonic Dash
Luminatio
Umbra
Morning Star
Coat of Arms
Spectral Sword
Belnades Spellbook
Ebony Diabologue
Familiar Forge
Icebrand
Arrow of Goth
Aura Blast
Summon Spirit
Dark Rift
